아이디,총 단어의 수,매칭된 단어,카테고리 분류 결과,카테고리 최종 결과
govira1,5805,"['축하', '숙소', '클렌징', '침대', '소품', '섬유', '원서', '제주도', '고양이', '퀴드', '볶음', '퇴치', '녹용', '밀착', '마미', '유아', '취소', '코디', '유딩', '광채', '야외', '클렌징워터', '주머니', '베트남항공', '최악', '웅진', '영양소', '신생아', '디파', '베이직', '땡땡', '카페인', '저분자', '뽀루지', '유연제', '와이어', '이징', '베베', '불가사리', '첨가', '노폐물', '모공', '물놀이', '아빠', '신랑', '놀이터', '국민', '유칼립투스', '따라서', '개구쟁이', '임산부', '섀도우', '베이스', '피지', '기구', '심리학', '개월', '코랄', '건성', '아스타', '운동복', '틴트', '원기', '지성', '스티커', '신비', '도서', '언제', '모험', '침실', '전망대', '해상도', '손상', '캐릭터', '햇살', '지난달', '코코', '공부', '활동', '자외선차단제', '여름방학', '애슐리', '형도', '윈도우', '펄감', '주부', '렌징', '바세린', '레미', '소나기', '쿠스', '눈매', '아토피', '게으름', '잡티', '필수품', '데리', '피트니스', '어깨', '베이비', '당일치기', '드럼세탁기', '어른', '육아', '핸드', '과산화수소수', '아기', '팬티', '미끄럼틀', '둘째', '요구르트', '키즈', '아들', '학교', '수세미', '계약', '볼륨', '속초', '뿌리채소', '초등학교', '호피', '영어', '어린이', '소통', '휘트니', '미술', '스팅', '올인', '반대쪽', '육아용품', '메이크업', '고기', '에센스', '즉각', '화분', '조기', '불빛', '나선', '습관', '동작', '튜브', '난리', '호캉스', '컬펌', '윤기', '아이라이너', '색칠', '외품', '나노', '헬스장', '빗물', '강릉', '면역', '레슨', '미국', '어린이집', '달라', '코덕', '놀람', '블록', '딥클렌징', '하원', '이두', '내복', '기질', '근육', '애견', '불고기', '친정', '키카', '산소']","[('육아', 78), ('뷰티', 44), ('헬스', 16), ('여행', 13), ('인테리어', 10), ('푸드', 5), ('펫', 3), ('패션', 2)]",육아
oioee,1603,"['깨끗', '욕심', '벨벳', '스컬', '건성', '모발', '팔레트', '스팅', '릴리', '모공', '지속', '메이크업', '왕따', '눈매', '하트', '아토피', '진주', '카메라', '플럼핑', '밀착', '시킴', '콘텐츠', '섀도우', '도화살', '윤기', '베이스', '다크', '코랄', '에스더', '운동복', '후디', '트루', '틴트', '확연', '부문', '음영', '상복', '태양열', '코디', '홍채', '랭킹', '광채', '향상', '보속', '언제', '지름', '립발색', '댕댕', '파운데이션', '아기', '코덕', '손상', '존스', '이드', '이돌', '이어링', '눈화장', '코코', '테카', '무대', '마틴', '썬크림', '찰떡', '티셔츠', '자외선차단제', '볼륨', '살얼음', '키핀', '이징', '비지', '베베', '아토', '몸친']","[('뷰티', 44), ('육아', 13), ('헬스', 6), ('패션', 4), ('여행', 2), ('푸드', 2), ('인테리어', 1), ('펫', 1)]",뷰티
jblack_n_pink,1343,"['에프', '하라', '축하', '물놀이', '태닝', '메이크업', '컬링', '제주도', '여보', '화이팅', '광복절', '상세', '애교', '며느리', '발전', '자켓', '롯데리아', '대기', '트레이닝', '천생연분', '콜라보', '심즈', '레슨', '유투', '영광', '체인지', '이상민', '어워드', '나이키', '디피', '미시', '공감', '무대', '활동', '호응', '핑키', '실어', '송지효', '강아지', '월요일', '염증']","[('헬스', 13), ('육아', 9), ('뷰티', 7), ('펫', 4), ('패션', 3), ('인테리어', 2), ('푸드', 2), ('여행', 1)]",-
1020chan,2918,"['첨가', '소통', '모발', '노폐물', '클렌징', '용법', '강도', '취저', '렌징', '벙거지', '메이크업', '임상실험', '즉각', '스크레치', '습관', '필수품', '내일', '그루밍', '크리미', '플랍', '윤기', '가죽', '개월', '슬릿', '가슴', '치과', '코디', '하복', '주머니', '언제', '교정', '유청', '선수', '밴드', '블루투스', '쓴맛', '눈썹', '매혹', '어린이날', '캐릭터', '아이오', '카페인', '활동', '티셔츠', '근육', '셔츠', '정신', '감쪽', '미네', '이징', '몸짱', '앞니', '산소', '월요일']","[('육아', 17), ('뷰티', 17), ('헬스', 11), ('패션', 5), ('인테리어', 3), ('펫', 1)]",-
jj.529529,1303,"['해바라기', '물놀이', '아빠', '조기', '제주도', '볶음', '난리', '놀이', '테오', '카메라', '게다가', '브로', '투썸플레이스', '내일', '콘텐츠', '비행기', '안국역', '오사카', '윤기', '대기', '지성', '회의', '코디', '강릉', '파이널', '테린', '최악', '슬랙스', '러시아', '우리엄마', '짬뽕', '타워', '이드', '둘째', '여행사진', '포스트', '자이언츠', '토요일', '봉천동', '투어', '항공', '싱가포르', '아르마니', '낙원', '셔츠', '달걀', '주얼']","[('여행', 15), ('육아', 10), ('뷰티', 7), ('푸드', 4), ('헬스', 4), ('패션', 4), ('인테리어', 3)]",여행
ys870922,610,"['스웨덴', '축하', '꼬막', '침대', '소파', '커튼', '습관', '립스틱', '제주도', '볶음', '화이팅', '내일', '어벤저스', '가구', '룰루', '예비', '한솔', '티크', '데코', '러그', '삼계탕', '이드', '루나', '코코', '잘못', '볼륨', '애견', '조카', '아메', '불고기']","[('인테리어', 9), ('헬스', 5), ('육아', 5), ('푸드', 4), ('뷰티', 4), ('여행', 1), ('펫', 1), ('패션', 1)]",-
csj_lovesu,1875,"['바다로', '줄줄', '축하', '스트', '해바라기', '고기', '인천', '멘토', '돌잔치', '반려견', '커튼', '사료', '지방', '조개', '불빛', '하트', '고양이', '가요', '화이팅', '내일', '뮤지컬', '축복', '프레셔스', '애교', '이형', '너희', '감량', '취지', '어깨', '바나나', '개월', '조식', '오늘이', '진보', '코디', '마디', '형용사', '언제', '입양', '엉엉', '반려', '존경', '정원', '완벽', '신체', '단어', '유기견', '동영상', '젠더', '손등', '무대', '근황', '세미', '활동', '최선', '잘못', '제자리', '하필', '정신', '책임', '왜냐면', '지대', '최수진', '세분', '강아지']","[('헬스', 18), ('육아', 14), ('펫', 11), ('뷰티', 9), ('여행', 8), ('푸드', 2), ('인테리어', 2), ('패션', 1)]",-
softxtouch,209,"['화이팅', '내일', '공부', '영어', '축하', '쇼룸', '자켓', '이케아', '소세지', '멘토', '존예', '야경', '눈썹', '빡빡', '우동']","[('헬스', 5), ('육아', 2), ('인테리어', 2), ('푸드', 2), ('뷰티', 2), ('패션', 1), ('여행', 1)]",-
oeouoo,5403,"['욕심', '어린이', '축하', '고기', '안지', '발목', '출판사', '만두', '소파', '어보', '커튼', '기차', '글자', '불빛', '슬픔', '가요', '카메라', '내일', '어깨', '살갑', '전부', '높낮이', '곳곳', '가슴', '오늘이', '번의', '목표', '문학', '스티커', '도서', '마디', '언제', '출판', '서러움', '동물병원', '목금', '태양도', '소독', '달라', '아기', '낙엽', '밴드', '단어', '예스', '다짐', '햇살', '학교', '공감', '주저', '일인', '활동', '통제', '최선', '잘못', '하네스', '아쉬움', '정신', '책임', '눈빛', '편의', '강아지', '무지개']","[('육아', 22), ('헬스', 18), ('인테리어', 6), ('펫', 6), ('여행', 5), ('푸드', 3), ('뷰티', 2)]",-
jy_hindog,3722,"['벼룩시장', '클렌징', '오일이', '지속', '퀴드', '매년', '밀착', '꼬리', '자동', '고정력', '코디', '라이터', '광채', '향상', '리액션', '검블', '레베쥬', '파운데이션', '여행사진', '동영상', '저분자', '센텔', '증가', '쿨링감', '이징', '이스라엘', '리치', '모공', '업리프팅', '놀이', '프리뷰', '내일', '한지민', '숙주', '원피스', '베이스', '피지', '다크', '틴트', '조식', '광택', '신비', '디자이너', '웰라쥬', '프루프', '꺄아', '광장', '정원', '비빔면', '손상', '햇살', '리페', '공부', '카우보이', '비비추', '제모', '맥립', '레미', '이지', '쿠스', '립스틱', '프라이머', '필수품', '카메라', '바닐라코', '콘텐츠', '송리', '피트니스', '베쥬', '꼬우', '빠루', '은하수', '트래킹', '송혜교', '컨실러', '브러쉬', '단어', '볼륨', '이끼', '엑스', '영어', '이탈', '모발', '하쥬', '메이크업', '에센스', '프레임', '즉각', '습관', '이니스프리', '대성당', '스팟', '면역', '제라늄', '폴딩', '밴드', '블록', '이드', '결점', '과학', '플래그', '홍조', '산소']","[('뷰티', 59), ('육아', 18), ('여행', 12), ('헬스', 5), ('인테리어', 5), ('패션', 2), ('펫', 1), ('푸드', 1)]",뷰티
coguy_,907,"['축하', '모공', '메이크업', '고기', '최리', '제주도', '카메라', '화이팅', '내일', '호캉스', '비행기', '에뛰드하우스', '자켓', '얼루', '자동', '코디', '방학', '강릉', '조심', '낭낭', '익선동', '가습기', '아련', '파란', '미국', '어워드', '이드', '나이키', '에뛰드', '디피', '룩북', '이징', '타투', '지대', '강아지']","[('뷰티', 12), ('여행', 7), ('헬스', 5), ('패션', 4), ('육아', 4), ('펫', 2), ('푸드', 1)]",-
gemmayj,713,"['영어', '미술', '아크', '몰래', '코치', '랜선', '가요', '카메라', '화이팅', '뮤지컬', '마카오', '말레이시아', '대기', '오늘이', '출전', '파이널', '조심', '교복', '선수', '대회', '주최', '햇살', '토요일', '무대', '활동', '최선', '티셔츠', '아이디', '데드리프트', '산소']","[('헬스', 15), ('육아', 7), ('여행', 4), ('패션', 2), ('펫', 1), ('인테리어', 1)]",-
_wonja,3918,"['에프', '불량', '축하', '상어', '노폐물', '마스카라', '클렌징', '강도', '모공', '물놀이', '지속', '메이크업', '고기', '즉각', '보라보라', '슬림', '업뎃', '미샤', '도대체', '유목민', '가요', '필수품', '블러셔', '화이팅', '따라서', '게다가', '실루엣', '내일', '매년', '임산부', '윤기', '콧구멍', '원피스', '진저', '발전', '다크', '개월', '건성', '비포', '궁둥이', '향료', '틴트', '번의', '지성', '만화', '공항', '어른', '광채', '리액션', '교정', '언제', '베르니', '요트', '선릉역', '생로랑', '컨실러', '거만', '쇼파', '학식', '한순간', '완벽', '아기', '눈썹', '햇살', '상하', '토요일', '학교', '무대', '일일이', '의류', '스냅', '근육', '증가', '정신', '감쪽', '달걀', '쓰시', '입생로랑', '윤광피부', '월요일']","[('뷰티', 31), ('헬스', 18), ('육아', 14), ('패션', 5), ('여행', 4), ('푸드', 3), ('인테리어', 3), ('펫', 2)]",뷰티
soomin_jeon,153,"['조심', '언제', '내일', '전부', '은하수', '달도', '세로', '스레', '카메라']","[('헬스', 4), ('여행', 2), ('육아', 1), ('인테리어', 1), ('뷰티', 1)]",-
beomjin___kim,2214,"['다이노', '영어', '유치원', '침대', '리트리버', '반려견', '고양이', '누드', '사발', '학년', '기구', '캐년', '그랜드캐년', '공룡', '만화', '스티커', '디자이너', '어린이집', '침실', '류현진', '북스', '아기', '미국여행', '나이키', '캐릭터', '햇살', '학교', '공부', '독서', '청첩장', '비키니', '도중', '투어', '티셔츠', '왼쪽', '포스터', '불가사리', '종업']","[('육아', 16), ('인테리어', 5), ('여행', 5), ('펫', 4), ('헬스', 4), ('뷰티', 2), ('푸드', 1), ('패션', 1)]",-
z.nnoung,146,"['유스', '언제', '바다로', '독서', '가디건', '자켓', '유온', '퍼플', '셔츠', '카약', '꿀귀', '업데이트', '월요일']","[('뷰티', 4), ('패션', 4), ('육아', 2), ('여행', 2), ('헬스', 1)]",-
ha_sisters__,2120,"['크러쉬', '첨가', '어린이', '그네', '소통', '유치원', '미술', '물놀이', '육아용품', '스케치북', '아빠', '그림책', '부모', '동복', '임상실험', '반려견', '놀이터', '불빛', '재기', '튜브', '난리', '놀이', '내일', '콘텐츠', '부상', '너희', '원피스', '힐리', '베이비', '아동복', '개월', '수학', '창고', '아스타', '향료', '유아', '얼집', '등원', '설정', '자동', '공룡', '치과', '스티커', '좋다잉', '코디', '방학', '신비', '안감', '기저귀', '야외', '언제', '코디얼', '육아', '아동', '신생아', '어린이집', '선수', '학습', '배관', '불검', '완벽', '아기', '밴드', '또래', '팬티', '블루투스', '동영상', '키즈', '코코', '공감', '공부', '주먹밥', '무대', '쥬쥬', '딸바보', '도치', '유아코', '동요', '울면', '증가', '거부', '미네', '엘린', '소공녀', '딸맘', '베베', '강아지', '월요일', '말티즈']","[('육아', 64), ('헬스', 6), ('뷰티', 5), ('인테리어', 5), ('펫', 4), ('패션', 3), ('여행', 1), ('푸드', 1)]",육아
sienna__park,7638,"['유산', '근력', '침대', '국경일', '초복', '발진', '버닝', '지방', '설탕', '막대', '찌뿌둥한데', '골지', '화이팅', '부상', '레이즈', '비포', '곳곳', '짐볼', '러시안', '코디', '릴레이', '향상', '야외', '테린', '셋팅', '스쿼트', '하중', '베이직', '나이키', '툭툭', '토마토', '변형', '발달', '토요일', '성당', '달걀', '덤벨', '서든', '운동화', '슬리브', '염증', '욕심', '기네', '운동신경', '스트레칭', '장시간', '프리뷰', '따라서', '게다가', '복부', '내일', '원피스', '베이스', '꼬맹이', '기구', '다크', '운동복', '상체', '가슴', '오늘이', '웨스트', '언제', '통증', '선수', '재활', '학습', '신체', '비행', '햇살', '지난달', '가디건', '활동', '티셔츠', '왼쪽', '커녕', '월요일', '스트', '여행자', '강도', '크롭티', '플랭크', '팔꿈치', '슬림', '카메라', '푸쉬업', '피트니스', '어깨', '전신', '바나나', '풀업', '트레이닝', '요가', '상복', '공항', '조심', '교정', '슬레', '감촉', '핸드', '반려', '아기', '맨몸', '체중', '하체', '스레', '비키니', '헬린', '공복', '기장', '정신', '데드리프트', '복귀', '호흡', '팔로', '쫀쫀', '고기', '힙업', '발목', '지점', '글램', '조기', '버건디', '습관', '동작', '가요', '네이비', '퀴노아', '헬스장', '옆구리', '복근', '목표', '직각', '크런치', '스팟', '턱걸이', '언덕', '위아래', '안과', '쇼파', '삼계탕', '팬츠', '달라', '밴드', '감각', '중량', '숄더', '골반', '의류', '전면', '근육', '물가', '플래그', '피티', '편식', '산소', '트레이너']","[('헬스', 71), ('육아', 23), ('뷰티', 17), ('패션', 16), ('인테리어', 12), ('여행', 9), ('푸드', 5), ('펫', 3)]",헬스
monguxx,5839,"['미키마우스', '하라', '침대', '무늬', '소품', '전쟁', '몰래', '섬유', '반려견', '지방', '설탕', '키친', '고양이', '제주도', '국밥', '화이팅', '밀착', '완구', '감량', '지능', '마술', '유아', '한몫', '자동', '치과', '봄비', '주머니', '웅진', '신생아', '템빨', '토요일', '저분자', '수유', '전집', '금속', '수납', '유연제', '흰자', '분유', '찰떡', '생리통', '거부', '봄코디', '척추', '초등', '운동화', '성광고', '강아지', '욕심', '레이더스', '아빠', '시술', '어보', '국민', '덧글', '놀이', '융합', '브로', '내일', '매트리스', '너희', '피지', '꼬맹이', '드앗', '출산', '애둘맘', '개월', '일몰', '아스타', '트루', '가슴', '키크', '스티커', '도서', '기저귀', '뒤죽박죽', '언제', '물감', '아동', '우체통', '동물병원', '침실', '가족사', '학습', '마점', '주니어', '해상도', '데스크', '상하', '리페', '공부', '독서', '활동', '자외선차단제', '티셔츠', '정성껏', '불법', '상무지구', '초등학생', '리틀', '월요일', '테이프', '정관', '주부', '지크', '노땀', '슬림', '스테레오', '장비', '필수품', '우동', '카메라', '권렬', '데리', '어깨', '베이비', '바나나', '자일리톨', '등원', '알파', '콜라보', '어른', '선반', '임신', '호루라기', '육아', '유청', '차보', '반려', '아기', '체중', '블루투스', '하체', '어린이날', '키즈', '아들', '학교', '침구', '트릭', '비키니', '스냅', '볼륨', '조카', '히어로즈', '초등학교', '요금', '영어', '어린이', '소통', '스승', '일동후디스', '고기', '에센스', '부모', '찬스', '키치', '기차', '조기', '슬픔', '습관', '문내면', '난리', '호캉스', '서랍', '며느리', '집사', '반려동물', '대기', '번의', '퍼즐', '목표', '양념', '면역', '레슨', '스탠드', '미국', '어린이집', '떡볶이', '폴딩', '달라', '밴드', '타워', '이드', '포스트', '공감', '주저', '전면', '원목', '투어', '봄볕', '씽크빅', '취항', '교육', '빨대', '불고기', '친정', '트레이너']","[('육아', 97), ('헬스', 24), ('뷰티', 23), ('인테리어', 21), ('여행', 12), ('펫', 9), ('푸드', 8), ('패션', 3)]",육아
yg_0113,471,"['언제', '여행기', '축하', '어깨', '스냅', '학년', '티셔츠', '자켓', '룰루', '야경', '대기', '신체', '기차', '천국', '눈썹', '엑스', '절벽', '상하']","[('여행', 6), ('육아', 5), ('헬스', 3), ('패션', 2), ('뷰티', 2)]",-
jsinbook,966,"['언제', '공감', '내일', '초장', '전부', '자존감', '오늘이', '단어', '스티커', '다짐', '어른']","[('육아', 5), ('헬스', 5), ('푸드', 1)]",-
from_z.e,2988,"['스웨덴', '쇼룸', '소통', '모발', '팔레트', '클렌징', '데님', '강도', '침대', '아빠', '지속', '메이크업', '에센스', '소품', '이지', '시술', '네이처리퍼블릭', '즉각', '팔꿈치', '기차', '일레란느', '습관', '앱코', '고양이', '매쉬', '잡티', '가요', '필수품', '카메라', '방치', '호캉스', '밀착', '꼬리', '매트리스', '이형', '윤기', '원피스', '아이라이너', '어깨', '전부', '베이스', '가구', '개월', '건성', '일몰', '곳곳', '카약', '가슴', '부문', '당일치기', '헤드셋', '이니스프리', '퍼즐', '레어카인드', '치과', '코디', '야외', '스팟', '주머니', '교정', '슬레', '요트', '데코', '통증', '긍정', '브러쉬', '댕댕', '핸드', '파운데이션', '팬츠', '완벽', '신체', '밴드', '타워', '발색', '황금비', '피니시', '검증', '변형', '포스트', '상하', '카페인', '토요일', '공감', '봉천동', '가디건', '활동', '의류', '구스', '투어', '찰떡', '티셔츠', '크러시', '하객', '퍼플', '볼륨', '플래그', '야경', '쿨링감', '마우스', '레란느', '애견', '이징', '아이디', '타투', '세로', '개린', '로티', '포스터', '겟했다', '강아지']","[('뷰티', 38), ('육아', 22), ('인테리어', 13), ('헬스', 12), ('여행', 11), ('패션', 8), ('펫', 6), ('푸드', 1)]",뷰티
yummassi,6450,"['루이보스', '숙소', '클렌징', '몇번', '여의도', '지속', '소품', '피하', '섬유', '지방', '설탕', '제주도', '고양이', '퀴드', '화이팅', '밀착', '족장', '일본여행', '핏감', '감량', '유아', '여기저기', '과천', '요트', '스쿼트', '영롱', '영양소', '신생아', '등교', '카페인', '토요일', '아리따움', '저분자', '눈화장', '귀신', '찰떡', '쿨링감', '달걀', '이징', '서든', '야광', '욕심', '생활필수품', '노폐물', '릴리', '물놀이', '세련', '아빠', '바가지', '존예', '스트레칭', '신랑', '놀이터', '성장기', '통밀', '유스', '게다가', '내일', '섀도우', '한지민', '전부', '피지', '출산', '건성', '아스타', '운동복', '상체', '가슴', '스티커', '아데노신', '통증', '구미', '프루프', '신체', '캐릭터', '리페', '샛별', '고소', '정품', '활동', '호응', '자외선차단제', '티셔츠', '여름방학', '대디', '배치', '색조', '아토', '월요일', '에프', '벨벳', '주부', '강도', '렌징', '이지', '음회', '슬림', '브릭', '아토피', '립스틱', '잡티', '장비', '필수품', '저스트', '중쇄', '불맛', '어깨', '베이비', '트레이닝', '요가', '파잉', '어른', '락토벨', '슬레', '임신', '육아', '파란', '핸드', '아기', '파트너', '하체', '키즈', '아들', '하디', '주먹밥', '침구', '갈비탕', '볼륨', '이끼', '데드리프트', '노팔', '영어', '어린이', '정수', '소통', '스팅', '한게임', '육아용품', '메이크업', '고기', '에센스', '키치', '위즈', '습관', '뿌듯', '젤라', '모노레일', '호캉스', '그린티', '소생', '네이비', '윤기', '아이라이너', '학년', '나노', '헬스장', '우롱', '티케', '방학', '스팟', '장영', '지름', '달라', '코덕', '밴드', '쓴맛', '이드', '발색', '논코메', '포스트', '투어', '도치', '제자리', '견적', '근육', '홍조', '지대', '아미노산', '친정', '강사', '트레이너']","[('육아', 62), ('뷰티', 58), ('헬스', 31), ('여행', 8), ('푸드', 8), ('인테리어', 7), ('패션', 5), ('펫', 2)]",뷰티 육아
ahun.e,2064,"['에프', '욕심', '쇼룸', '소통', '데님', '편입', '근무', '스카프', '메스', '업데이트', '화이팅', '따라서', '실루엣', '내일', '누드', '정비', '조거', '서류', '어깨', '셋업', '발전', '자켓', '개월', '후디', '대기', '가슴', '법적', '회의', '에이스', '코디', '형식', '슬랙스', '로에베', '쇼파', '핸드', '팬츠', '짬뽕', '달라', '주최', '변형', '펜더', '토요일', '밑단', '카우보이', '세미', '활동', '호응', '급여', '기장', '티셔츠', '셔츠', '아란', '거래처', '비지', '슬리브', '월요일']","[('패션', 17), ('헬스', 12), ('육아', 12), ('인테리어', 4), ('뷰티', 4), ('펫', 3), ('여행', 2), ('푸드', 2)]",패션
eunjin12020,721,"['미술', '메이크업', '천국', '홀리', '호캉스', '자존감', '운동복', '오늘이', '코퍼레이션', '광택', '요가', '공룡', '공항', '디자이너', '아동', '브러쉬', '밴드', '블루투스', '나이키', '스윙스', '키즈', '비키니', '슈퍼모델', '넷이', '정신', '교육', '서든', '운동화', '정은']","[('육아', 9), ('헬스', 9), ('뷰티', 5), ('여행', 4), ('패션', 1), ('인테리어', 1)]",-
__yudidi_,680,"['불량', '기네', '축하', '아크', '소품', '관계자', '커튼', '지방', '유스', '화이팅', '내일', '뮤지컬', '오사카', '요가', '목표', '영광', '밥집', '존경', '달라', '토요일', '공부', '무대', '키스', '최선', '아쉬움', '진아']","[('헬스', 13), ('육아', 4), ('인테리어', 3), ('여행', 3), ('뷰티', 2), ('푸드', 1)]",-
o_o___i.58,1341,"['스컬', '스트', '용법', '릴리', '크롭티', '인천', '멘토', '존예', '하트', '제주도', '유스', '내일', '조거', '네이비', '원피스', '어깨', '전부', '집업', '베이비', '자켓', '코디', '언제', '지름', '슬랙스', '핸드', '스커트', '팬츠', '서포터즈', '밴드', '등교', '나이키', '학교', '코코', '가디건', '항공', '싱가포르', '퍼플', '하이라이트', '셔츠', '진아', '운동화', '슬리브', '불가사리', '월요일']","[('패션', 13), ('육아', 10), ('뷰티', 7), ('헬스', 7), ('여행', 5), ('인테리어', 2)]",패션
hongahn,4692,"['축하', '상어', '숙소', '수려', '몇번', '침대', '무늬', '지속', '소품', '밴딩', '전쟁', '몰래', '커튼', '키친', '고양이', '제주도', '자재', '꼬리', '콧구멍', '첫째', '유아', '한몫', '소매', '주머니', '최악', '메쉬', '툭툭', '토마토', '카페인', '토요일', '전집', '수복', '귀신', '하이라이트', '달걀', '이징', '서든', '리넨', '강아지', '물놀이', '모던', '아빠', '단비', '스트레칭', '천국', '놀이터', '산악', '게다가', '내일', '비행기', '원피스', '가죽', '전부', '가구', '개월', '일몰', '사선', '가슴', '오늘이', '보육', '언제', '모험', '인용', '아동', '영광', '전망대', '상하', '활동', '하객', '거래처', '세로', '월요일', '그네', '강도', '브릭', '중문', '잡티', '장비', '카메라', '오도방정', '데리', '어깨', '베이비', '알파', '밥솥', '당일치기', '트레이닝', '요가', '획득', '공항', '어른', '이빨', '육아', '파란', '핸드', '흥이', '둘째', '키즈', '아들', '수세미', '무대', '비키니', '프리다이빙', '정신', '책임', '눈빛', '엑스', '초등학교', '아메', '어린이', '호흡', '쇼룸', '대고', '그림책', '기차', '평형', '조기', '동작', '튜브', '네이비', '산호', '번의', '목표', '강릉', '조미료', '양념', '위아래', '어린이집', '떡볶이', '팬츠', '달라', '근황', '일인', '의류', '척척', '빨대', '친정', '강사']","[('육아', 43), ('헬스', 24), ('인테리어', 19), ('여행', 17), ('패션', 12), ('뷰티', 10), ('펫', 8), ('푸드', 5)]",육아
cutesiwoo,6851,"['유치원', '클렌징', '길거리', '지속', '쿼드', '소품', '스톡', '교재', '설탕', '반상', '키친', '고양이', '볶음', '여보', '체어', '화이팅', '매년', '완구', '마카오', '지능', '전직', '발전', '유아', '식탁', '자동', '코디', '릴레이', '여기저기', '향상', '야외', '스위트룸', '사두', '혈행', '땡땡', '토마토', '다짐', '변형', '동영상', '대파', '수납', '최선', '흰자', '넣기', '활동량', '하이라이트', '달걀', '초등', '발음', '아이디', '울산', '욕심', '첨가', '플라자', '한글', '릴리', '물놀이', '모던', '아빠', '글루텐', '놀이터', '놀이', '본체', '게다가', '중금속', '내일', '비행기', '숙주', '너희', '전부', '피지', '심리학', '개월', '조식', '가슴', '일부러', '스티커', '도서', '언제', '관심사', '인용', '선수', '가족사', '광장', '학습', '정원', '비행', '워킹맘', '해상도', '손상', '우드', '데스크', '캐릭터', '전라도', '공부', '옥션', '티셔츠', '여름방학', '초등학생', '무풍', '래미', '주부', '획기', '오이', '서재', '필수품', '카메라', '콘텐츠', '어깨', '박진', '바나나', '콩나물국', '이유식', '요가', '콜라보', '파닉스', '어른', '육아', '핸드', '아기', '체중', '조명', '단어', '둘째', '설연휴', '키즈', '아들', '학교', '쥬쥬', '샤인', '세라믹', '정신', '조카', '초등학교', '요금', '영어', '어린이', '정수', '겉바', '미술', '대고', '에센스', '부모', '수비드', '스트링', '슬픔', '습관', '하트', '뿌듯', '여자아이', '네이비', '수학', '대기', '설정', '목표', '방학', '조미료', '강릉', '양념', '스탠드', '미국', '떡볶이', '팬츠', '북스', '스키장', '달라', '감각', '이드', '하반기', '하원', '과학', '공감', '전면', '의류', '원목', '투어', '딸바보', '척척', '넷이', '교육', '빨대', '교구', '불고기', '키카', '친정', '무지개', '산소']","[('육아', 89), ('여행', 22), ('헬스', 20), ('인테리어', 18), ('푸드', 15), ('뷰티', 13), ('패션', 7), ('펫', 2)]",육아
nini_da_ni,3734,"['하라', '현저', '태닝', '오일이', '피하', '몰래', '섬유', '반려견', '니키타', '프락', '지방', '제주도', '고양이', '매년', '할미', '밀착', '버저', '야외', '최악', '픽시', '댕댕', '먹이', '다짐', '동영상', '플라밍고', '찰떡', '쿨링감', '와이어', '아이디', '타투', '루씨', '베베', '강아지', '염증', '첨가', '마스카라', '모공', '물놀이', '시술', '장시간', '도대체', '놀이', '복부', '내일', '원피스', '베이스', '가구', '다크', '개월', '틴트', '가슴', '일부러', '뒤죽박죽', '형식', '언제', '지망', '디자이너', '고발', '통증', '뷰러', '프루프', '전라북도', '손상', '유기견', '도포', '활동', '자외선차단제', '티셔츠', '흥미', '색조', '월요일', '테이프', '벨벳', '브릭', '프라이머', '카메라', '바닐라코', '어깨', '강황', '요가', '정식런칭', '이빨', '슬레', '런칭된', '입양', '체중', '조명', '블루투스', '견생', '제자', '아들', '비키니', '셔츠', '정신', '슬슬', '하모니', '치크블러셔', '모발', '메이크업', '힙업', '에센스', '발목', '수비드', '사료', '하트', '동작', '가요', '축적', '반려동물', '멘탈', '목표', '르노', '파이널', '면역', '안과', '미국', '블러', '슬랙스', '달라', '블록', '발색', '이드', '그라데이션', '스윙스', '결막염', '커피믹스', '원목', '근육', '애견', '국영']","[('뷰티', 36), ('헬스', 31), ('육아', 26), ('펫', 16), ('인테리어', 10), ('여행', 5), ('패션', 4), ('푸드', 2)]",뷰티
jangssamcafe,5293,"['욕심', '피스타치오', '내일', '수강생', '오늘이', '일부러', '여기저기', '언제', '스탠드', '진열', '핸드', '흑임자', '지난달', '토요일', '코코', '최선', '동요', '하필', '정신', '슬슬', '하모니', '월요일']","[('헬스', 8), ('육아', 5), ('인테리어', 4), ('푸드', 3), ('뷰티', 1), ('여행', 1)]",-
ifyoudie92,743,"['축하', '팔레트', '태닝', '메이크업', '제주도', '랜선', '가요', '매년', '베이스', '크리에이티브', '가슴', '이니스프리', '조심', '영광', '에스쁘', '밴드', '다짐', '캐릭터', '키즈', '무대', '크리에이터', '정신', '신형', '이하이']","[('헬스', 10), ('뷰티', 7), ('육아', 4), ('여행', 1), ('펫', 1), ('패션', 1)]",-
